date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:44	208055/208055	---M--	200	added ('OK')	image/jpeg	etag:%2232cb7-660616ae-1485e0c3502d4920;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-1.jpg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-1.jpg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:44	1563/1563	---M-Z	200	added ('OK')	image/svg+xml	etag:%2261b-66062c28-9a31d2b6231e1e93;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/camera.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/camera.svg	(from https://marveltheme.com/tf/html/bentofolio-html/services.html)
23:08:44	1234/1234	---M-Z	200	added ('OK')	image/svg+xml	etag:%224d2-66062c32-d8b7f3344373e201;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/youtube.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/youtube.svg	(from https://marveltheme.com/tf/html/bentofolio-html/services.html)
23:08:45	1153/1153	---M-Z	200	added ('OK')	image/svg+xml	etag:%22481-66062c3c-69195ae8bac4f215;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/web-development.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/web-development.svg	(from https://marveltheme.com/tf/html/bentofolio-html/services.html)
23:08:45	51204/51204	---M--	200	added ('OK')	image/jpeg	etag:%22c804-660616b8-a6bd0ad740f76a0c;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-3.jpg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-3.jpg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:45	944/944	---M-Z	200	added ('OK')	image/svg+xml	etag:%223b0-66062c44-6ecd9eeedc466c1a;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/view.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/view.svg	(from https://marveltheme.com/tf/html/bentofolio-html/services.html)
23:08:45	472/472	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d8-660630a4-9f5be09ef14c6fce;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/plus.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/plus.svg	(from https://marveltheme.com/tf/html/bentofolio-html/services.html)
23:08:46	359/359	---M-Z	200	added ('OK')	image/svg+xml	etag:%22167-660630d4-cdb9e61d0efc60;gz%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/icons/minus.svg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/icons/minus.svg	(from https://marveltheme.com/tf/html/bentofolio-html/services.html)
23:08:46	33944/33944	---M-Z	200	added ('OK')	text/html	etag:%228498-660da38e-89d9bbe7a1f497a;gz%22	https://marveltheme.com/tf/html/bentofolio-html/portfolio-details.html	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/portfolio-details.html	(from https://marveltheme.com/tf/html/bentofolio-html/portfolio.html)
23:08:47	109365/109365	---M--	200	added ('OK')	image/jpeg	etag:%221ab35-660616b2-695d56b79fc0179d;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-2.jpg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-2.jpg	(from https://marveltheme.com/tf/html/bentofolio-html/about.html)
23:08:47	302121/302121	---M--	200	added ('OK')	image/png	etag:%2249c29-6606e842-81c9d6aff48a5871;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-3.png	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-3.png	(from https://marveltheme.com/tf/html/bentofolio-html/portfolio.html)
23:08:48	96948/96948	---M--	200	added ('OK')	image/jpeg	etag:%2217ab4-6607518e-d5f5400617da8659;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-4.jpg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-4.jpg	(from https://marveltheme.com/tf/html/bentofolio-html/blog.html)
23:08:51	31183/31183	---M--	200	added ('OK')	image/jpeg	etag:%2279cf-66075192-a62e5609a5ae2911;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-5.jpg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-5.jpg	(from https://marveltheme.com/tf/html/bentofolio-html/blog.html)
23:08:52	150606/150606	---M--	200	added ('OK')	image/jpeg	etag:%2224c4e-66075196-198318f9837612ce;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-6.jpg	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/blog/blog-img-6.jpg	(from https://marveltheme.com/tf/html/bentofolio-html/blog.html)
23:08:53	65846/65846	---M--	200	added ('OK')	image/png	etag:%2210136-6609aa0e-fc4024ef5634e82f;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-details-2.png	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-details-2.png	(from https://marveltheme.com/tf/html/bentofolio-html/portfolio-details.html)
23:08:54	46412/46412	---M--	200	added ('OK')	image/png	etag:%22b54c-6609aa16-f33b9e066c296caf;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-details-3.png	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-details-3.png	(from https://marveltheme.com/tf/html/bentofolio-html/portfolio-details.html)
23:08:56	161595/161595	---M--	200	added ('OK')	image/png	etag:%222773b-6609a9f2-a45eb3482195ed80;;;%22	https://marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-details-1.png	D:/bentofile/marveltheme.com/tf/html/bentofolio-html/assets/img/projects/project-details-1.png	(from https://marveltheme.com/tf/html/bentofolio-html/portfolio-details.html)
